208.35 0.570 12.107 0.9030	0.9030 0.0012
211.40 0.579 12.284 0.9019	0.9018 0.0010
214.44 0.587 12.460 0.9049	0.90492 0.00097
217.48 0.595 12.637 0.8991	0.8991 0.0012
220.52 0.604 12.814 0.8979	0.8979 0.0013
223.56 0.612 12.991 0.8988	0.8988 0.0013
226.60 0.620 13.167 0.8953	0.8953 0.0011
229.65 0.629 13.344 0.8949	0.8949 0.0011
232.69 0.637 13.521 0.8937	0.8937 0.0010
235.73 0.645 13.697 0.8919	0.8919 0.0014
238.77 0.654 13.874 0.8923	0.8922 0.0013
241.81 0.662 14.051 0.8909	0.8908 0.0010
244.85 0.670 14.228 0.8896	0.8896 0.0010
247.90 0.679 14.404 0.8887	0.8887 0.0012
250.94 0.687 14.581 0.8863	0.8862 0.0012
253.98 0.695 14.758 0.8854	0.8854 0.0012
257.02 0.704 14.935 0.8838	0.8838 0.0013
260.06 0.712 15.111 0.8830	0.8829 0.0014
263.10 0.720 15.288 0.8832	0.8832 0.0014
266.15 0.729 15.465 0.8796	0.8795 0.0011
269.19 0.737 15.642 0.8787	0.8786 0.0011
272.23 0.745 15.818 0.8776	0.8775 0.0013
275.27 0.754 15.995 0.8791	0.8790 0.0010
278.31 0.762 16.172 0.8745	0.8745 0.0014
281.35 0.770 16.349 0.8721	0.8720 0.0011
284.40 0.779 16.525 0.8717	0.87168 0.00091
287.44 0.787 16.702 0.8725	0.8725 0.0011
290.48 0.795 16.879 0.8679	0.8679 0.0011
293.52 0.804 17.056 0.8664	0.8664 0.0012
296.56 0.812 17.232 0.8667	0.8667 0.0010
299.60 0.820 17.409 0.8665	0.8665 0.0013
302.65 0.829 17.586 0.8634	0.86339 0.00093
305.69 0.837 17.763 0.8647	0.8646 0.0014
308.73 0.845 17.939 0.8664	0.8663 0.0012
311.77 0.854 18.116 0.8610	0.8610 0.0011
314.81 0.862 18.293 0.8609	0.8608 0.0011
317.85 0.870 18.470 0.8608	0.8607 0.0012
320.90 0.879 18.646 0.8576	0.8576 0.0012
323.94 0.887 18.823 0.8574	0.8573 0.0014
326.98 0.895 19.000 0.8554	0.8554 0.0011
330.02 0.904 19.176 0.8541	0.8540 0.0013
333.06 0.912 19.353 0.8557	0.8556 0.0010
336.10 0.920 19.530 0.8529	0.8529 0.0014
339.15 0.929 19.707 0.8529	0.8529 0.0011
342.19 0.937 19.883 0.8498	0.8497 0.0011
345.23 0.945 20.060 0.8494	0.84941 0.00089
348.27 0.954 20.237 0.8479	0.8478 0.0012
351.31 0.962 20.414 0.8468	0.8468 0.0010
354.35 0.970 20.590 0.8447	0.8447 0.0013
357.40 0.978 20.767 0.8438	0.8438 0.0010
360.44 0.987 20.944 0.8436	0.8435 0.0012
363.48 0.995 21.121 0.8417	0.8417 0.0010
