117.10 0.321 6.805 0.9769	0.9768 0.0012
120.15 0.329 6.981 0.9778	0.9778 0.0012
123.19 0.337 7.158 0.9756	0.9756 0.0011
126.23 0.346 7.335 0.9747	0.9746 0.0012
129.27 0.354 7.512 0.9756	0.9755 0.0012
132.31 0.362 7.688 0.9722	0.9721 0.0014
135.35 0.371 7.865 0.9731	0.9731 0.0012
138.40 0.379 8.042 0.9686	0.96862 0.00080
141.44 0.387 8.218 0.9688	0.9687 0.0011
144.48 0.396 8.395 0.9662	0.9661 0.0010
147.52 0.404 8.572 0.9642	0.9641 0.0014
150.56 0.412 8.749 0.9639	0.9639 0.0014
153.60 0.421 8.925 0.9640	0.9640 0.0013
156.65 0.429 9.102 0.9602	0.9601 0.0010
159.69 0.437 9.279 0.9590	0.9590 0.0012
162.73 0.446 9.456 0.9595	0.9595 0.0013
165.77 0.454 9.632 0.9561	0.9560 0.0011
168.81 0.462 9.809 0.9559	0.9558 0.0010
171.85 0.471 9.986 0.9564	0.9564 0.0010
174.90 0.479 10.163 0.9551	0.95511 0.00079
177.94 0.487 10.339 0.9527	0.9527 0.0011
180.98 0.495 10.516 0.9513	0.9513 0.0010
184.02 0.504 10.693 0.9518	0.9518 0.0012
187.06 0.512 10.870 0.9479	0.9478 0.0012
190.10 0.520 11.046 0.9455	0.9454 0.0012
193.15 0.529 11.223 0.9477	0.9477 0.0010
196.19 0.537 11.400 0.9440	0.9440 0.0013
199.23 0.545 11.577 0.9427	0.9426 0.0014
202.27 0.554 11.753 0.9429	0.9428 0.0014
205.31 0.562 11.930 0.9408	0.9407 0.0014
208.35 0.570 12.107 0.9379	0.9379 0.0012
211.40 0.579 12.284 0.9369	0.9369 0.0014
214.44 0.587 12.460 0.9361	0.9360 0.0012
217.48 0.595 12.637 0.9346	0.9345 0.0014
220.52 0.604 12.814 0.9348	0.9347 0.0012
223.56 0.612 12.991 0.9334	0.9334 0.0014
226.60 0.620 13.167 0.9291	0.9290 0.0013
229.65 0.629 13.344 0.9323	0.9322 0.0010
232.69 0.637 13.521 0.9282	0.92824 0.00096
235.73 0.645 13.697 0.9271	0.9270 0.0011
238.77 0.654 13.874 0.9281	0.9280 0.0010
241.81 0.662 14.051 0.9235	0.9235 0.0014
244.85 0.670 14.228 0.9237	0.9236 0.0011
247.90 0.679 14.404 0.9224	0.9224 0.0012
250.94 0.687 14.581 0.9231	0.9231 0.0011
253.98 0.695 14.758 0.9204	0.9204 0.0010
257.02 0.704 14.935 0.9207	0.9206 0.0014
260.06 0.712 15.111 0.9179	0.9179 0.0010
263.10 0.720 15.288 0.9181	0.9181 0.0010
266.15 0.729 15.465 0.9154	0.9153 0.0011
269.19 0.737 15.642 0.9122	0.9121 0.0013
272.23 0.745 15.818 0.9144	0.9143 0.0011
275.27 0.754 15.995 0.9113	0.9112 0.0013
278.31 0.762 16.172 0.9105	0.9104 0.0011
281.35 0.770 16.349 0.9119	0.9119 0.0010
284.40 0.779 16.525 0.9081	0.9081 0.0013
287.44 0.787 16.702 0.9061	0.9060 0.0012
290.48 0.795 16.879 0.9060	0.9059 0.0011
293.52 0.804 17.056 0.9054	0.9053 0.0013
296.56 0.812 17.232 0.9039	0.9038 0.0014
299.60 0.820 17.409 0.9002	0.9001 0.0013
302.65 0.829 17.586 0.8997	0.8997 0.0010
305.69 0.837 17.763 0.8990	0.8990 0.0014
308.73 0.845 17.939 0.8996	0.8995 0.0014
311.77 0.854 18.116 0.8968	0.8967 0.0012
314.81 0.862 18.293 0.8958	0.8957 0.0012
317.85 0.870 18.470 0.8975	0.8974 0.0010
320.90 0.879 18.646 0.8946	0.8945 0.0011
323.94 0.887 18.823 0.8939	0.8939 0.0010
326.98 0.895 19.000 0.8937	0.8936 0.0013
330.02 0.904 19.176 0.8910	0.8910 0.0011
333.06 0.912 19.353 0.8893	0.8892 0.0014
336.10 0.920 19.530 0.8881	0.8880 0.0010
339.15 0.929 19.707 0.8860	0.8860 0.0010
342.19 0.937 19.883 0.8874	0.8873 0.0012
345.23 0.945 20.060 0.8846	0.8845 0.0014
348.27 0.954 20.237 0.8839	0.88386 0.00091
351.31 0.962 20.414 0.8819	0.8819 0.0012
354.35 0.970 20.590 0.8815	0.8814 0.0012
357.40 0.978 20.767 0.8810	0.8809 0.0014
360.44 0.987 20.944 0.8792	0.87919 0.00098
363.48 0.995 21.121 0.8771	0.8771 0.0010
